SNP	Chromosome	Position
wPt.3697	1	158
wPt.9522	1	159
wPt.4140	1	160
wPt.1176	1	161
wPt.9154	1	162
wPt.7872	1	163
wPt.0228	1	164
wPt.8167	1	165
wPt.0032	1	166
wPt.2406	1	167
wPt.8833	1	168
wPt.9418	1	169
wPt.5334	1	170
wPt.9796	1	171
wPt.5320	1	172
wPt.6661	1	173
wPt.0619	1	174
wPt.3114	1	175
wPt.4576	1	176
wPt.8770	1	177
wPt.2464	1	178
wPt.0098	1	179
wPt.7695	1	180
wPt.9925	1	181
wPt.2497	1	182
wPt.1723	1	183
wPt.7027	1	184
wPt.8404	1	185
wPt.1377	1	186
wPt.0170	1	187
wPt.7608	1	188
wPt.0419	1	189
wPt.4721	1	190
wPt.8043	1	191
wPt.6967	1	192
wPt.5333	1	193
wPt.9075	1	194
wPt.2266	1	195
wPt.7273	1	196
wPt.5265	1	197
wPt.5489	1	198
wPt.5590	1	199
wPt.2260	1	200
wPt.8292	1	201
wPt.4660	1	202
wPt.4370	1	203
wPt.4645	1	204
wPt.4555	1	205
wPt.1770	2	1
wPt.0995	2	2
wPt.1489	2	3
wPt.4924	2	4
wPt.0094	2	5
wPt.8072	2	6
wPt.7785	2	7
wPt.7626	2	8
wPt.5408	2	9
wPt.1628	2	10
wPt.1165	2	11
wPt.1209	2	12
wPt.8492	2	13
wPt.7627	2	14
wPt.9822	2	15
wPt.3130	2	16
wPt.5942	2	17
wPt.1196	2	18
wPt.9562	2	19
wPt.0405	2	20
wPt.7354	2	21
wPt.6735	2	22
wPt.5506	2	23
wPt.4144	2	24
wPt.3816	2	25
wPt.4725	2	26
wPt.8449	2	27
wPt.4765	2	28
wPt.1264	2	29
wPt.2565	2	30
wPt.2698	2	31
wPt.7030	2	32
wPt.3045	2	33
wPt.9857	2	34
wPt.1852	2	35
wPt.3743	2	36
wPt.0164	2	37
wPt.3566	2	38
wPt.4407	2	39
wPt.9859	2	40
wPt.6156	2	41
wPt.0036	2	42
wPt.9668	2	43
wPt.4988	2	44
wPt.0365	2	45
wPt.9788	2	46
wPt.3581	2	47
wPt.2379	2	48
wPt.3733	2	49
wPt.2054	2	50
wPt.6142	2	51
wPt.3921	2	52
wPt.5892	2	53
wPt.5816	2	54
wPt.7034	2	55
wPt.9952	2	56
wPt.3468	2	57
wPt.1684	2	58
wPt.3661	2	59
wPt.2575	2	60
wPt.1482	2	61
wPt.1325	2	62
wPt.1688	2	63
wPt.7599	2	64
wPt.7842	2	65
wPt.0484	2	66
wPt.5556	2	67
wPt.2273	2	68
wPt.1733	2	69
wPt.5996	2	70
wPt.5836	2	71
wPt.1743	2	72
wPt.0021	2	73
wPt.5172	2	74
wPt.6404	2	75
wPt.8657	2	76
wPt.4596	2	77
wPt.5316	2	78
wPt.9833	2	79
wPt.9382	2	80
wPt.7956	2	81
wPt.9474	2	82
wPt.5067	2	83
wPt.3965	2	84
wPt.8004	2	85
wPt.1822	2	86
wPt.3561	2	87
wPt.3116	2	88
wPt.8920	2	89
wPt.7101	2	90
wPt.5696	2	91
wPt.0921	2	92
wPt.6854	2	93
wPt.7642	2	94
wPt.8328	2	95
wPt.8343	2	96
wPt.4290	2	97
wPt.5346	2	98
wPt.6047	2	99
wPt.7280	2	100
wPt.9624	2	101
wPt.0745	2	102
wPt.4572	2	103
wPt.3349	2	104
wPt.9205	2	105
wPt.0935	2	106
wPt.2258	2	107
wPt.2151	2	108
wPt.8960	2	109
wPt.3833	2	110
wPt.1664	2	111
wPt.0359	2	112
wPt.0100	2	113
wPt.5175	2	114
wPt.3457	2	115
wPt.8168	2	116
wPt.8412	2	117
wPt.4172	2	118
wPt.2781	2	119
wPt.2755	2	120
wPt.9930	2	121
wPt.8396	2	122
wPt.7887	2	123
wPt.0477	2	124
wPt.0959	2	125
wPt.7992	2	126
wPt.1400	2	127
wPt.8713	2	128
wPt.4835	2	129
wPt.6560	2	130
wPt.3836	2	131
wPt.7151	2	132
wPt.9402	2	133
wPt.1301	2	134
wPt.3992	2	135
wPt.3569	2	136
wPt.8616	2	137
wPt.9598	2	138
wPt.2559	2	139
wPt.8141	2	140
wPt.6447	2	141
wPt.6019	2	142
wPt.9904	2	143
wPt.4134	2	144
wPt.6320	2	145
wPt.9887	2	146
wPt.1541	2	147
wPt.2897	2	148
wPt.0471	2	149
wPt.2614	2	150
wPt.5870	2	151
wPt.1048	2	152
wPt.1046	2	153
wPt.0817	2	154
wPt.1457	2	155
wPt.1149	2	156
wPt.2636	2	157
wPt.5765	2	158
wPt.9903	2	159
wPt.3226	2	160
wPt.0694	2	161
wPt.2356	2	162
wPt.5738	2	163
wPt.3334	2	164
wPt.0128	2	165
wPt.6434	2	166
wPt.3707	2	167
wPt.5256	2	168
wPt.1159	2	169
wPt.4996	2	170
wPt.3378	2	171
wPt.0705	2	172
wPt.1314	2	173
wPt.7015	2	174
wPt.8644	3	1
wPt.4662	3	2
wPt.1531	3	3
wPt.5934	3	4
wPt.9103	3	5
wPt.1437	3	6
wPt.9664	3	7
wPt.5138	3	8
wPt.3309	3	9
wPt.6970	3	10
wPt.2305	3	11
wPt.5652	3	12
wPt.7330	3	13
wPt.5825	3	14
wPt.1011	3	15
wPt.3723	3	16
wPt.8446	3	17
wPt.7046	3	18
wPt.8545	3	19
wPt.9116	3	20
wPt.2788	3	21
wPt.0832	3	22
wPt.6688	3	23
wPt.9170	3	24
wPt.7614	3	25
wPt.4532	3	26
wPt.1403	3	27
wPt.7004	3	28
wPt.1708	3	29
wPt.9277	3	30
wPt.1562	3	31
wPt.8267	3	32
wPt.1155	3	33
wPt.3824	3	34
wPt.5505	3	35
wPt.6005	3	36
wPt.0610	3	37
wPt.3093	3	38
wPt.6904	3	39
wPt.1554	3	40
wPt.7665	3	41
wPt.5270	3	42
wPt.0357	3	43
wPt.7623	3	44
wPt.2087	3	45
wPt.7299	3	46
wPt.5769	3	47
wPt.0864	3	48
wPt.4916	3	49
wPt.7108	3	50
wPt.5350	3	51
wPt.7142	3	52
wPt.3465	3	53
wPt.4476	3	54
wPt.0246	3	55
wPt.5434	3	56
wPt.1888	3	57
wPt.7092	3	58
wPt.4487	3	59
wPt.3086	3	60
wPt.6754	3	61
wPt.4424	3	62
wPt.2218	3	63
wPt.5896	3	64
wPt.5865	3	65
wPt.3983	3	66
wPt.2847	3	67
wPt.6654	3	68
wPt.6709	3	69
wPt.9690	3	70
wPt.8841	3	71
wPt.3524	3	72
wPt.2291	3	73
wPt.0008	3	74
wPt.5851	3	75
wPt.3922	3	76
wPt.7475	3	77
wPt.8000	3	78
wPt.0047	3	79
wPt.9990	3	80
wPt.2527	3	81
wPt.5069	3	82
wPt.0934	3	83
wPt.0884	3	84
wPt.9369	3	85
wPt.3939	3	86
wPt.6687	3	87
wPt.9510	3	88
wPt.2526	3	89
wPt.9432	3	90
wPt.1826	3	91
wPt.7576	3	92
wPt.5242	3	93
wPt.7486	3	94
wPt.4553	3	95
wPt.0413	3	96
wPt.9679	3	97
wPt.3132	3	98
wPt.8886	3	99
wPt.8239	3	100
wPt.2573	3	101
wPt.4559	3	102
wPt.8091	3	103
wPt.1533	3	104
wPt.3282	3	105
wPt.0944	3	106
wPt.5562	3	107
wPt.8814	3	108
wPt.7946	3	109
c.117337	3	110
c.117411	3	111
c.117416	3	112
c.117417	3	113
c.117418	3	114
c.117419	3	115
c.117430	3	116
c.117438	3	117
c.117439	3	118
c.117444	3	119
c.117446	3	120
c.117448	3	121
c.117472	3	122
c.117474	3	123
c.117493	3	124
c.117500	3	125
wPt.9804	3	126
wPt.9310	3	127
wPt.5096	3	128
wPt.8650	3	129
wPt.8658	3	130
wPt.9268	3	131
wPt.4412	3	132
wPt.2150	3	133
wPt.5118	3	134
wPt.0384	3	135
wPt.5533	3	136
wPt.6627	3	137
wPt.7160	3	138
wPt.4016	3	139
wPt.8271	3	140
wPt.1263	3	141
wPt.5274	3	142
wPt.9256	3	143
wPt.1903	3	144
wPt.3459	3	145
wPt.8721	3	146
wPt.0744	3	147
wPt.1642	3	148
wPt.3948	3	149
wPt.0696	3	150
wPt.4218	3	151
wPt.3728	3	152
wPt.3393	3	153
wPt.0330	3	154
wPt.5049	3	155
wPt.4017	3	156
wPt.1911	3	157
wPt.0431	3	158
wPt.2991	3	159
wPt.4796	3	160
wPt.3477	3	161
wPt.1167	4	1
wPt.0280	4	2
wPt.7636	4	3
wPt.2951	4	4
wPt.7062	4	5
wPt.9124	4	6
wPt.1302	4	7
wPt.9181	4	8
wPt.3904	4	9
wPt.4706	4	10
wPt.6785	4	11
wPt.0504	4	12
wPt.2095	4	13
wPt.6460	4	14
wPt.5313	4	15
wPt.1931	4	16
wPt.4680	4	17
wPt.1951	4	18
wPt.6273	4	19
wPt.7767	4	20
wPt.3388	4	21
wPt.4917	4	22
wPt.5128	4	23
wPt.6199	4	24
wPt.3978	4	25
wPt.1250	4	26
wPt.3108	4	27
wPt.6994	4	28
wPt.2216	4	29
wPt.9401	4	30
wPt.5801	4	31
wPt.1812	4	32
wPt.5231	4	33
wPt.0391	4	34
wPt.6668	4	35
wPt.1512	4	36
wPt.6116	4	37
wPt.2448	4	38
wPt.0194	4	39
wPt.7954	4	40
wPt.6234	4	41
wPt.5906	4	42
wPt.3177	4	43
wPt.4434	4	44
wPt.7951	4	45
wPt.7026	4	46
wPt.7662	4	47
wPt.9977	4	48
wPt.9380	4	49
wPt.2160	4	50
wPt.9592	4	51
wPt.8006	4	52
wPt.4620	4	53
wPt.7939	4	54
wPt.0240	4	55
wPt.6931	4	56
wPt.4533	4	57
wPt.9951	4	58
wPt.3632	4	59
wPt.9814	4	60
wPt.3753	4	61
wPt.7907	4	62
wPt.1259	4	63
wPt.9422	4	64
wPt.3795	4	65
wPt.0697	4	66
wPt.5745	4	67
wPt.3118	4	68
wPt.7009	4	69
wPt.1853	4	70
wPt.3328	4	71
wPt.4936	4	72
wPt.1973	4	73
wPt.7204	4	74
wPt.8876	4	75
wPt.0853	4	76
wPt.6726	4	77
wPt.2315	4	78
wPt.2725	4	79
wPt.8268	4	80
wPt.7756	4	81
wPt.9454	4	82
wPt.6575	4	83
wPt.5176	4	84
wPt.0974	4	85
wPt.4249	4	86
wPt.5674	4	87
wPt.2551	4	88
wPt.3923	4	89
wPt.0373	4	90
wPt.7394	4	91
wPt.2994	4	92
wPt.1370	4	93
wPt.2084	4	94
wPt.4301	4	95
wPt.5647	4	96
wPt.0408	4	97
wPt.5037	4	98
wPt.8226	4	99
wPt.4131	4	100
wPt.2019	4	101
wPt.9793	4	102
wPt.1023	4	103
wPt.9350	4	104
wPt.0605	4	105
wPt.2135	4	106
wPt.1171	4	107
wPt.2933	4	108
wPt.7114	4	109
wPt.3304	4	110
wPt.4545	4	111
wPt.9666	4	112
wPt.5105	4	113
wPt.4858	4	114
wPt.1859	4	115
wPt.7807	4	116
wPt.7757	4	117
wPt.3636	4	118
wPt.9780	4	119
c.303848	4	120
c.303849	4	121
c.303877	4	122
c.303887	4	123
c.303896	4	124
c.303931	4	125
c.303943	4	126
c.303944	4	127
c.303948	4	128
c.303952	4	129
c.303974	4	130
c.304024	4	131
c.304025	4	132
c.304031	4	133
c.304045	4	134
c.304060	4	135
c.304069	4	136
c.304128	4	137
c.304141	4	138
c.304157	4	139
c.304166	4	140
c.304172	4	141
c.304200	4	142
c.304205	4	143
c.304211	4	144
c.304224	4	145
c.304244	4	146
c.304248	4	147
c.304255	4	148
c.304264	4	149
c.304278	4	150
c.304279	4	151
c.304283	4	152
c.304307	4	153
c.304317	4	154
c.304329	4	155
c.304361	4	156
c.304364	4	157
c.304367	4	158
c.304382	4	159
c.304383	4	160
c.304391	4	161
c.304407	4	162
c.304424	4	163
c.304430	4	164
c.304454	4	165
c.304485	4	166
c.304513	4	167
c.304544	4	168
c.304547	4	169
c.304560	4	170
c.304566	4	171
c.304576	4	172
c.304600	4	173
c.304610	4	174
c.304635	4	175
c.304657	4	176
c.304668	5	1
c.304677	5	2
c.304691	5	3
c.304701	5	4
c.304723	5	5
c.304771	5	6
c.304777	5	7
c.304782	5	8
c.304801	5	9
c.304802	5	10
c.304805	5	11
c.304835	5	12
c.304839	5	13
c.304842	5	14
c.304851	5	15
c.304885	5	16
c.304915	5	17
c.304934	5	18
c.304962	5	19
c.304972	5	20
c.304991	5	21
c.305013	5	22
c.305044	5	23
c.305054	5	24
c.305092	5	25
c.305107	5	26
c.305115	5	27
c.305151	5	28
c.305166	5	29
c.305220	5	30
c.305231	5	31
c.305232	5	32
c.305238	5	33
c.305270	5	34
c.305301	5	35
c.305338	5	36
c.305342	5	37
c.305345	5	38
c.305387	5	39
c.305406	5	40
c.305417	5	41
c.305423	5	42
c.305496	5	43
c.305501	5	44
c.305528	5	45
c.305561	5	46
c.305569	5	47
c.305613	5	48
c.305697	5	49
c.305701	5	50
c.305711	5	51
c.305713	5	52
c.305726	5	53
c.305742	5	54
c.305829	5	55
c.306004	5	56
c.306023	5	57
c.306024	5	58
c.306034	5	59
c.306099	5	60
c.306153	5	61
c.306188	5	62
c.306596	5	63
c.306872	5	64
c.310624	5	65
c.310864	5	66
c.310877	5	67
c.310954	5	68
c.311004	5	69
c.311407	5	70
c.311566	5	71
c.311648	5	72
c.311736	5	73
c.311893	5	74
c.312155	5	75
c.312361	5	76
c.312377	5	77
c.312411	5	78
c.312549	5	79
c.312613	5	80
c.312736	5	81
c.312808	5	82
c.312980	5	83
c.313026	5	84
c.343366	5	85
c.343378	5	86
c.343392	5	87
c.343426	5	88
c.343478	5	89
c.343583	5	90
c.343694	5	91
c.343738	5	92
c.343777	5	93
c.343821	5	94
c.343833	5	95
c.343844	5	96
c.343869	5	97
c.343912	5	98
c.343926	5	99
c.343930	5	100
c.343936	5	101
c.343943	5	102
c.343945	5	103
c.343986	5	104
c.343987	5	105
c.343989	5	106
c.343999	5	107
c.344008	5	108
c.344062	5	109
c.344065	5	110
c.344082	5	111
c.344090	5	112
c.344101	5	113
c.344107	5	114
c.344123	5	115
c.344152	5	116
c.344179	5	117
c.344244	5	118
c.344247	5	119
c.344260	5	120
c.344272	5	121
c.344275	5	122
c.344289	5	123
c.344301	5	124
c.344315	5	125
c.344329	5	126
c.344330	5	127
c.344382	5	128
c.344385	5	129
c.344388	5	130
c.344410	5	131
c.344422	5	132
c.344425	5	133
c.344427	5	134
c.344429	5	135
c.344480	5	136
c.344517	5	137
c.344544	5	138
c.344553	5	139
c.344560	5	140
c.344562	5	141
c.344573	5	142
c.344609	5	143
c.344644	5	144
c.344673	5	145
c.344692	5	146
c.344700	5	147
c.344712	5	148
c.344746	5	149
c.344758	5	150
c.344799	5	151
c.344809	5	152
c.344869	5	153
c.344943	5	154
c.344955	5	155
c.344962	5	156
c.344973	5	157
c.344977	6	1
c.344980	6	2
c.344998	6	3
c.344999	6	4
c.345020	6	5
c.345031	6	6
c.345032	6	7
c.345054	6	8
c.345055	6	9
c.345072	6	10
c.345074	6	11
c.345088	6	12
c.345090	6	13
c.345107	6	14
c.345127	6	15
c.345150	6	16
c.345152	6	17
c.345194	6	18
c.345203	6	19
c.345225	6	20
c.345237	6	21
c.345245	6	22
c.345250	6	23
c.345254	6	24
c.345285	6	25
c.345306	6	26
c.345319	6	27
c.345327	6	28
c.345341	6	29
c.345359	6	30
c.345364	6	31
c.345368	6	32
c.345374	6	33
c.345442	6	34
c.345454	6	35
c.345456	6	36
c.345471	6	37
c.345492	6	38
c.345497	6	39
c.345532	6	40
c.345541	6	41
c.345561	6	42
c.345566	6	43
c.345583	6	44
c.345585	6	45
c.345619	6	46
c.345625	6	47
c.345634	6	48
c.345638	6	49
c.345641	6	50
c.345668	6	51
c.345672	6	52
c.345722	6	53
c.345746	6	54
c.345767	6	55
c.345830	6	56
c.345836	6	57
c.345838	6	58
c.345869	6	59
c.345897	6	60
c.345905	6	61
c.345922	6	62
c.345926	6	63
c.345947	6	64
c.345995	6	65
c.346000	6	66
c.346019	6	67
c.346027	6	68
c.346038	6	69
c.346078	6	70
c.346098	6	71
c.346131	6	72
c.346133	6	73
c.346134	6	74
c.346154	6	75
c.346196	6	76
c.346227	6	77
c.346229	6	78
c.346235	6	79
c.346237	6	80
c.346241	6	81
c.346246	6	82
c.346249	6	83
c.346314	6	84
c.346335	6	85
c.346343	6	86
c.346386	6	87
c.346394	6	88
c.346407	6	89
c.346523	6	90
c.346533	6	91
c.346554	6	92
c.346623	6	93
c.346746	6	94
c.346775	6	95
c.346784	6	96
c.346828	6	97
c.346852	6	98
c.346879	6	99
c.346957	6	100
c.347009	6	101
c.347042	6	102
c.347108	6	103
c.347194	6	104
c.347223	6	105
c.347249	6	106
c.347295	6	107
c.347335	6	108
c.347395	6	109
c.347432	6	110
c.347521	6	111
c.347681	6	112
c.347702	6	113
c.347725	6	114
c.347821	6	115
c.347917	6	116
c.347929	6	117
c.347958	6	118
c.347989	6	119
c.348013	6	120
c.348015	6	121
c.348051	6	122
c.348071	6	123
c.348101	6	124
c.348103	6	125
c.348111	6	126
c.348126	6	127
c.348129	6	128
c.348141	6	129
c.348181	6	130
c.348186	6	131
c.348206	6	132
c.348216	6	133
c.348225	6	134
c.348246	6	135
c.348252	6	136
c.348294	6	137
c.348314	6	138
c.348355	6	139
c.348358	6	140
c.348369	6	141
c.348373	6	142
c.348383	6	143
c.348404	6	144
c.348413	6	145
c.348420	6	146
c.348456	6	147
c.348464	6	148
c.348465	6	149
c.348496	6	150
c.348498	6	151
c.348501	6	152
c.348521	6	153
c.348528	6	154
c.348540	6	155
c.348553	6	156
c.348559	6	157
c.348582	6	158
c.348591	6	159
c.348609	6	160
c.348633	6	161
c.348652	6	162
c.348667	6	163
c.348674	6	164
c.348728	6	165
c.348732	6	166
c.348774	6	167
c.348880	6	168
c.348929	6	169
c.349121	6	170
c.349142	6	171
c.349151	6	172
c.349157	6	173
c.349170	6	174
c.349206	6	175
c.349207	6	176
c.349220	6	177
c.349234	6	178
c.349259	6	179
c.349264	6	180
c.349277	6	181
c.349302	6	182
c.349303	6	183
c.349305	6	184
c.349329	6	185
c.349333	6	186
c.349397	6	187
c.349410	6	188
c.349417	6	189
c.349438	6	190
c.349457	6	191
c.349495	6	192
c.349504	6	193
c.370577	6	194
c.372366	6	195
c.372376	6	196
c.372377	6	197
c.372404	6	198
c.372408	6	199
c.372424	6	200
c.372455	6	201
c.372464	6	202
c.372470	6	203
c.372480	6	204
c.372483	6	205
c.372490	6	206
c.372508	6	207
c.372515	6	208
c.372522	6	209
c.372528	6	210
c.372535	6	211
c.372541	6	212
c.372565	6	213
c.372567	6	214
c.372574	6	215
c.372596	6	216
c.372599	6	217
c.372621	6	218
c.372640	6	219
c.372641	6	220
c.372664	6	221
c.372669	6	222
c.372675	6	223
c.372684	6	224
c.372691	6	225
c.372696	6	226
c.372712	6	227
c.372717	6	228
c.372845	6	229
c.372897	6	230
c.372967	6	231
c.373063	6	232
c.373080	6	233
c.373172	6	234
c.373185	6	235
c.373205	6	236
c.373218	6	237
c.373376	7	1
c.373384	7	2
c.373747	7	3
c.373816	7	4
c.373879	7	5
c.373892	7	6
c.373928	7	7
c.373941	7	8
c.374042	7	9
c.374068	7	10
c.374164	7	11
c.374431	7	12
c.374835	7	13
c.374903	7	14
c.375042	7	15
c.375127	7	16
c.375371	7	17
c.375520	7	18
c.375616	7	19
c.375736	7	20
c.375787	7	21
c.375921	7	22
c.375954	7	23
c.376040	7	24
c.376167	7	25
c.376312	7	26
c.376332	7	27
c.376380	7	28
c.376404	7	29
c.376406	7	30
c.376463	7	31
c.376528	7	32
c.376551	7	33
c.376593	7	34
c.376851	7	35
c.377353	7	36
c.377383	7	37
c.377405	7	38
c.377410	7	39
c.377416	7	40
c.377478	7	41
c.377479	7	42
c.377494	7	43
c.377565	7	44
c.377577	7	45
c.377579	7	46
c.377607	7	47
c.377656	7	48
c.377693	7	49
c.377694	7	50
c.377714	7	51
c.377734	7	52
c.377781	7	53
c.377784	7	54
c.377823	7	55
c.377925	7	56
c.377941	7	57
c.377954	7	58
c.377959	7	59
c.377964	7	60
c.378027	7	61
c.378047	7	62
c.378079	7	63
c.378083	7	64
c.378140	7	65
c.378142	7	66
c.378173	7	67
c.378212	7	68
c.378214	7	69
c.378216	7	70
c.378243	7	71
c.378288	7	72
c.378294	7	73
c.378303	7	74
c.378328	7	75
c.378331	7	76
c.378352	7	77
c.378405	7	78
c.378503	7	79
c.378535	7	80
c.378539	7	81
c.378563	7	82
c.378579	7	83
c.378600	7	84
c.378601	7	85
c.378616	7	86
c.378619	7	87
c.378625	7	88
c.378650	7	89
c.378696	7	90
c.378704	7	91
c.378706	7	92
c.378717	7	93
c.378765	7	94
c.378781	7	95
c.378828	7	96
c.378832	7	97
c.378859	7	98
c.378886	7	99
c.378892	7	100
c.378896	7	101
c.378903	7	102
c.378956	7	103
c.379040	7	104
c.379070	7	105
c.379092	7	106
c.379105	7	107
c.379269	7	108
c.379274	7	109
c.379285	7	110
c.379317	7	111
c.379413	7	112
c.379495	7	113
c.379596	7	114
c.379640	7	115
c.379652	7	116
c.379655	7	117
c.379670	7	118
c.379698	7	119
c.379716	7	120
c.379717	7	121
c.379733	7	122
c.379771	7	123
c.379790	7	124
c.379821	7	125
c.379865	7	126
c.379940	7	127
c.380050	7	128
c.380120	7	129
c.380161	7	130
c.380196	7	131
c.380217	7	132
c.380225	7	133
c.380253	7	134
c.380272	7	135
c.380286	7	136
c.380591	7	137
c.380632	7	138
c.380675	7	139
c.380762	7	140
c.381049	7	141
c.381104	7	142
c.381146	7	143
c.381227	7	144
c.381467	7	145
c.381486	7	146
c.381523	7	147
c.381695	7	148
c.381717	7	149
c.381764	7	150
c.381838	7	151
c.381845	7	152
c.381874	7	153
c.381876	7	154
c.381932	7	155
c.408111	7	156
c.408112	7	157
c.408149	7	158
c.408266	7	159
c.408290	7	160
c.408294	7	161
c.408330	7	162
c.408336	7	163
c.408375	7	164
c.408393	7	165
c.408422	7	166
c.408424	7	167
c.408426	7	168
c.408443	7	169
